Date,Volume,Open,High,Low,Close,Adj Close
26-01-21,26262000,94.44,96.25,94.21,95.86,95.86
27-01-21,54966000,94.13,94.50,90.45,91.54,91.54
28-01-21,35462000,92.20,94.94,92.13,93.16,93.16
29-01-21,32252000,92.31,92.86,90.51,91.79,91.79
01-02-21,32044000,92.68,96.12,92.55,95.07,95.07
02-02-21,45474000,96.13,97.79,95.72,96.38,96.38
03-02-21,82364000,103.65,105.82,100.92,103.50,103.50
04-02-21,37046000,103.44,103.93,102.13,103.12,103.12
05-02-21,30702000,103.50,105.13,102.97,104.90,104.90
08-02-21,24838000,105.30,106.18,103.60,104.65,104.65
09-02-21,17798000,103.93,105.26,103.93,104.18,104.18
10-02-21,22710000,104.71,105.42,103.15,104.77,104.77
11-02-21,18914000,104.98,105.10,103.87,104.79,104.79
12-02-21,17114000,104.51,105.44,104.16,105.21,105.21
16-02-21,22676000,105.22,107.63,105.22,106.10,106.10
17-02-21,21418000,105.00,106.68,104.95,106.42,106.42
18-02-21,22432000,105.52,106.64,105.19,105.86,105.86
19-02-21,29148000,105.96,106.53,104.87,105.06,105.06
22-02-21,27350000,103.35,104.57,103.11,103.24,103.24
23-02-21,33348000,101.25,104.10,100.10,103.54,103.54
24-02-21,24966000,102.09,105.04,101.91,104.76,104.76
25-02-21,36568000,103.37,104.74,101.06,101.57,101.57
26-02-21,41670000,102.53,103.55,100.80,101.84,101.84
01-03-21,28090000,102.83,104.33,102.31,104.08,104.08
02-03-21,22692000,103.81,105.22,103.56,103.79,103.79
03-03-21,29684000,103.36,104.43,100.50,101.34,101.34
04-03-21,42360000,101.17,104.46,101.01,102.45,102.45
05-03-21,43904000,103.66,105.91,102.32,105.43,105.43
08-03-21,32948000,105.06,106.44,101.08,101.21,101.21
09-03-21,33946000,103.50,103.90,102.39,102.64,102.64
10-03-21,25372000,103.59,103.75,101.67,102.75,102.75
11-03-21,24782000,103.70,106.29,103.62,105.74,105.74
12-03-21,34516000,104.25,104.51,102.38,103.10,103.10
15-03-21,25962000,103.11,103.35,102.18,103.32,103.32
16-03-21,29832000,103.95,106.18,103.50,104.63,104.63
17-03-21,25980000,103.80,105.49,102.70,104.55,104.55
18-03-21,27228000,103.05,103.78,101.68,101.81,101.81
19-03-21,46298000,102.10,102.65,100.88,102.16,102.16
22-03-21,39096000,102.09,102.90,101.30,101.93,101.93
23-03-21,27340000,102.58,103.62,101.96,102.65,102.65
24-03-21,23080000,103.27,103.91,102.08,102.25,102.25
